LAST SEEN   TYPE      REASON                            OBJECT                                             MESSAGE
2m5s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-owner-label/ fail: Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
2m5s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
2m5s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
2m5s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-app-label/ fail: Add metadata.labels.app.kubernetes.io/name with a meaningful application name.
2m5s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
2m5s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
28s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
28s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
104s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
104s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
104s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
104s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
104s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-app-label/ fail: Add metadata.labels.app.kubernetes.io/name with a meaningful application name.
104s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-owner-label/ fail: Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
103s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
103s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
103s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
75s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
75s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
75s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
75s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
74s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
74s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-app-label/ fail: Add metadata.labels.app.kubernetes.io/name with a meaningful application name.
74s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-owner-label/ fail: Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
74s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
74s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
54s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-app-label/ fail: Add metadata.labels.app.kubernetes.io/name with a meaningful application name.
54s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-owner-label/ fail: Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
54s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
54s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
53s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
53s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
53s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
53s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
53s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
25s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-app-label/ fail: Add metadata.labels.app.kubernetes.io/name with a meaningful application name.
25s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-owner-label/ fail: Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
25s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
25s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
24s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
24s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
24s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
24s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
24s         Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
114s        Normal    Scheduled                         pod/e2e-dev-daemonset-valid-4jx5m                  Successfully assigned ksp-dev/e2e-dev-daemonset-valid-4jx5m to worker-node-1
28s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
66s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-app-label/ fail: Add metadata.labels.app.kubernetes.io/name with a meaningful application name.
66s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
66s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
67s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
67s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
67s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
118s        Normal    Scheduled                         pod/e2e-dev-daemonset-valid-f8vzg                  Successfully assigned ksp-dev/e2e-dev-daemonset-valid-f8vzg to worker-node-2
67s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
67s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
68s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-owner-label/ fail: Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
96s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-owner-label/ fail: Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
96s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-app-label/ fail: Add metadata.labels.app.kubernetes.io/name with a meaningful application name.
96s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
96s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
