NAMESPACE            LAST SEEN   TYPE      REASON               OBJECT                                                             MESSAGE
default              28m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              27m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              27m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              26m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              26m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              26m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              25m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              25m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              24m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              24m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              23m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              23m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              23m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              22m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              21m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              21m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              21m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              20m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              20m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              19m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              19m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              19m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              18m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              18m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              17m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              17m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              16m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              16m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              14m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              13m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              13m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              12m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              12m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              11m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              11m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              11m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
